psi0,nu,N,chitc,href,id,col0,col1,col2,col3,col4,col5
-0.093949,0.3348,0.1755,4.2242,16.4475,1,5.093661e-01,3.521974e-01,4.920000e-01,2.316465e-01,2.602536e-01,2.193000e+00
-0.024844,0.1598,0.1408,1.9453,45.3854,1,5.554537e-01,4.892221e-01,1.017000e+00,3.607496e-01,4.341345e-01,3.940500e+00
-0.185747,0.2549,0.4779,2.6611,21.0649,1,4.938007e-01,3.872833e-01,1.102500e+00,4.580522e-01,3.869698e-01,1.371000e+00
-0.104542,0.2696,0.5922,3.7947,16.2198,1,5.162445e-01,3.352459e-01,8.055000e-01,3.424377e-01,3.092551e-01,2.242500e+00
0.002087,0.2212,0.5763,3.5349,77.5369,1,5.693706e-01,5.224839e-01,8.700000e-01,3.981001e-01,4.765144e-01,3.142500e+00
-0.042292,0.2730,0.1986,4.0270,58.7933,1,5.336456e-01,4.904035e-01,7.965000e-01,4.329390e-01,4.813538e-01,1.477500e+00
-0.057941,0.2577,0.3093,1.3667,30.3304,1,5.307282e-01,3.950313e-01,6.615000e-01,2.229180e-01,2.659275e-01,4.377000e+00
-0.183351,0.1214,0.5918,1.2937,26.6442,1,5.306451e-01,4.470939e-01,1.453500e+00,4.417252e-01,4.414355e-01,2.640000e+00
-0.057554,0.3397,0.5932,4.9408,11.0656,1,5.088506e-01,2.942060e-01,4.905000e-01,1.940506e-01,1.888091e-01,2.965500e+00
-0.039527,0.2203,0.5017,2.7312,56.9234,1,5.483044e-01,4.932200e-01,9.600000e-01,4.344362e-01,4.798011e-01,2.062500e+00
0.004478,0.2941,0.1188,5.4363,34.0601,1,5.239962e-01,3.944126e-01,5.700000e-01,2.159458e-01,2.628383e-01,3.735000e+00
-0.014288,0.3500,0.3200,1.4725,18.6268,1,5.107061e-01,3.401268e-01,4.140000e-01,9.312288e-02,1.131058e-01,6.157500e+00
-0.058943,0.1002,0.5603,5.0474,5.6937,1,5.134447e-01,3.157445e-01,1.284000e+00,2.472555e-01,2.414722e-01,6.661500e+00
0.010582,0.2906,0.1958,2.6319,148.1533,1,5.867117e-01,5.690515e-01,6.945000e-01,4.125209e-01,5.097208e-01,3.495000e+00
-0.031860,0.2703,0.3173,1.3932,124.3305,1,5.734603e-01,5.754065e-01,8.355000e-01,4.817301e-01,5.652700e-01,1.660500e+00
0.000796,0.2329,0.3592,2.2588,52.9141,1,5.519525e-01,4.575349e-01,7.530000e-01,2.887972e-01,3.513014e-01,4.606500e+00
-0.020804,0.1469,0.3147,2.0752,48.8742,1,5.606108e-01,5.042747e-01,1.095000e+00,3.890302e-01,4.622258e-01,3.772500e+00
0.009997,0.2655,0.2349,2.1487,86.1437,1,5.663937e-01,4.992419e-01,6.930000e-01,3.244222e-01,3.997809e-01,4.455000e+00
-0.038971,0.1749,0.2451,1.9013,17.4978,1,5.257363e-01,3.829799e-01,8.685000e-01,2.010092e-01,2.410206e-01,6.846000e+00
-0.072152,0.3467,0.2662,1.7867,36.2434,1,5.222593e-01,3.740560e-01,4.500000e-01,2.060164e-01,2.429784e-01,2.593500e+00
-0.164851,0.1224,0.3548,2.1449,12.9305,1,5.221883e-01,3.863202e-01,1.224000e+00,3.337407e-01,3.493287e-01,3.909000e+00
-0.112254,0.3116,0.1717,1.0805,112.9405,1,5.519152e-01,5.391441e-01,7.020000e-01,4.662697e-01,5.323098e-01,1.201500e+00
-0.024421,0.3337,0.3939,2.6230,109.2545,1,5.544339e-01,4.940106e-01,5.700000e-01,3.972798e-01,4.614464e-01,1.474500e+00
-0.059844,0.2401,0.5791,5.0080,27.6917,1,5.102275e-01,4.073518e-01,1.069500e+00,4.473370e-01,4.055150e-01,1.585500e+00
0.025925,0.1897,0.4086,3.0839,24.6952,1,5.299227e-01,3.900202e-01,8.190000e-01,1.446510e-01,1.790864e-01,1.849350e+01
-0.076643,0.2174,0.3588,5.7173,5.2540,1,5.063896e-01,3.075199e-01,8.460000e-01,2.201205e-01,2.204249e-01,4.686000e+00
-0.046564,0.2804,0.2542,1.5201,66.8921,1,5.503543e-01,4.687713e-01,6.645000e-01,3.430127e-01,4.080214e-01,2.437500e+00
-0.134350,0.2756,0.4367,4.8854,13.0374,1,4.761557e-01,3.493013e-01,1.117500e+00,4.584004e-01,3.492671e-01,1.243500e+00
-0.085129,0.1407,0.4987,2.6718,29.9173,1,5.242674e-01,4.636812e-01,1.440000e+00,4.622194e-01,4.616023e-01,2.185500e+00
-0.029793,0.2822,0.5619,3.2291,19.3693,1,5.192006e-01,3.505678e-01,6.000000e-01,1.920836e-01,2.165337e-01,4.263000e+00
-0.003943,0.2324,0.5702,1.8037,72.2388,1,5.656334e-01,4.993549e-01,7.980000e-01,3.546955e-01,4.282783e-01,3.705000e+00
-0.135942,0.2867,0.4725,1.0633,68.2255,1,5.467414e-01,4.715482e-01,7.110000e-01,4.035061e-01,4.483460e-01,1.719000e+00
-0.109617,0.1775,0.1078,3.0276,10.2565,1,5.144956e-01,3.722398e-01,8.925000e-01,2.360782e-01,2.759037e-01,4.665000e+00
-0.037753,0.2546,0.5155,2.8754,46.8407,1,5.416484e-01,4.412138e-01,7.605000e-01,3.550826e-01,3.980126e-01,2.425500e+00
0.024463,0.1082,0.4883,2.6902,20.9910,1,5.345751e-01,4.018238e-01,1.062000e+00,1.607578e-01,1.990218e-01,2.370150e+01
0.000715,0.3488,0.3580,3.4320,149.5268,1,5.657799e-01,5.165182e-01,5.250000e-01,3.886197e-01,4.677289e-01,1.636500e+00
0.020680,0.2476,0.4194,4.5762,14.5846,1,5.096989e-01,3.523925e-01,6.585000e-01,1.195157e-01,1.457143e-01,1.003200e+01
0.009803,0.2080,0.1874,3.9170,74.1945,1,5.702500e-01,5.208465e-01,8.775000e-01,3.656605e-01,4.492190e-01,4.524000e+00
-0.072498,0.2244,0.3021,1.4778,10.6025,1,5.135988e-01,3.433151e-01,7.155000e-01,1.342253e-01,1.593655e-01,8.043000e+00
-0.035708,0.3454,0.4868,4.9684,20.8262,1,5.135938e-01,3.345168e-01,4.635000e-01,2.110322e-01,2.266332e-01,2.494500e+00
0.007071,0.3362,0.2645,5.2766,36.9048,1,5.205390e-01,3.793651e-01,4.665000e-01,1.891535e-01,2.283801e-01,3.355500e+00
-0.040531,0.2923,0.3830,2.5241,62.6210,1,5.444927e-01,4.563448e-01,6.525000e-01,3.598187e-01,4.128166e-01,1.993500e+00
-0.101719,0.3493,0.3736,2.2651,63.2305,1,5.310436e-01,4.277480e-01,5.235000e-01,3.684788e-01,3.991317e-01,1.260000e+00
0.006774,0.3029,0.1455,2.1974,78.9207,1,5.531900e-01,4.614660e-01,5.775000e-01,2.790481e-01,3.432143e-01,3.712500e+00
-0.020825,0.3046,0.4727,4.3356,63.9995,1,5.413559e-01,4.510125e-01,6.345000e-01,3.709718e-01,4.158715e-01,1.759500e+00
-0.198819,0.1564,0.2076,4.1352,8.0586,1,4.895847e-01,3.954333e-01,1.431000e+00,4.305200e-01,3.940469e-01,2.055000e+00
0.013717,0.2632,0.3506,2.2993,113.2433,1,5.806472e-01,5.421612e-01,7.365000e-01,3.663510e-01,4.540084e-01,6.772500e+00
-0.071916,0.3349,0.4585,1.4891,137.0705,1,5.511716e-01,5.368038e-01,6.690000e-01,4.852985e-01,5.334954e-01,1.009500e+00
-0.027882,0.1430,0.4663,4.7486,29.3018,1,5.364880e-01,4.521231e-01,1.201500e+00,3.996629e-01,4.326841e-01,2.973000e+00
-0.030633,0.2814,0.4473,5.1810,39.8109,1,5.299768e-01,4.194225e-01,7.050000e-01,3.599699e-01,3.877270e-01,1.933500e+00
-0.070795,0.3210,0.4497,1.5124,41.2530,1,5.303981e-01,3.890253e-01,5.205000e-01,2.390273e-01,2.773090e-01,2.781000e+00
-0.032163,0.1648,0.2770,1.8024,63.7799,1,5.649689e-01,5.426424e-01,1.132500e+00,4.489668e-01,5.258662e-01,2.697000e+00
-0.006103,0.3248,0.1653,4.1342,130.3988,1,5.617069e-01,5.358151e-01,6.210000e-01,4.339420e-01,5.144830e-01,1.417500e+00
0.004574,0.1883,0.2336,3.8288,56.8621,1,5.610381e-01,4.972153e-01,9.225000e-01,3.533742e-01,4.295557e-01,4.225500e+00
0.014654,0.2277,0.2790,2.9909,9.3966,1,5.100969e-01,3.431050e-01,6.855000e-01,9.523968e-02,1.163904e-01,1.290900e+01
-0.112710,0.3153,0.5090,1.7140,16.2432,1,5.145371e-01,3.297331e-01,5.205000e-01,1.695595e-01,1.874247e-01,3.888000e+00
-0.138624,0.2237,0.1800,4.5011,7.5146,1,5.078967e-01,3.506129e-01,8.295000e-01,2.742080e-01,2.917959e-01,3.196500e+00
-0.130148,0.1353,0.5465,1.3012,18.8748,1,5.328431e-01,3.940901e-01,1.090500e+00,2.931199e-01,3.237126e-01,4.942500e+00
-0.028264,0.3266,0.2650,2.2366,21.4826,1,5.152974e-01,3.522757e-01,4.740000e-01,1.429851e-01,1.714894e-01,4.455000e+00
-0.038473,0.3053,0.2779,3.1107,76.6041,1,5.440394e-01,4.841914e-01,6.585000e-01,4.068724e-01,4.628485e-01,1.503000e+00
0.015912,0.3368,0.4437,5.5479,75.4041,1,5.367977e-01,4.296230e-01,4.935000e-01,2.388191e-01,2.923559e-01,3.480000e+00
-0.086450,0.2273,0.3871,1.0855,23.0776,1,5.286271e-01,3.828499e-01,7.350000e-01,2.092072e-01,2.471542e-01,5.344500e+00
-0.110360,0.1937,0.4024,4.6858,9.4638,1,5.104897e-01,3.443459e-01,1.078500e+00,3.476105e-01,3.220416e-01,2.878500e+00
-0.143456,0.3143,0.2700,4.2322,12.3261,1,5.090788e-01,3.383205e-01,5.955000e-01,2.896117e-01,2.901183e-01,1.989000e+00
-0.006716,0.1368,0.2014,2.5448,76.4165,1,5.788388e-01,5.901240e-01,1.306500e+00,4.858637e-01,5.788305e-01,2.907000e+00
-0.049779,0.2755,0.1899,1.2836,110.7317,1,5.664833e-01,5.553581e-01,7.890000e-01,4.613987e-01,5.420442e-01,1.645500e+00
-0.103124,0.1334,0.3939,2.0598,29.5443,1,5.339273e-01,4.653854e-01,1.308000e+00,4.285122e-01,4.557625e-01,2.634000e+00
-0.084844,0.2427,0.5540,1.1879,16.7450,1,5.209395e-01,3.529847e-01,6.870000e-01,1.678519e-01,1.942739e-01,6.195000e+00
-0.006256,0.3012,0.2244,4.6955,25.8230,1,5.184245e-01,3.734710e-01,5.475000e-01,1.966471e-01,2.351358e-01,3.723000e+00
0.004698,0.2123,0.1355,2.2955,14.4962,1,5.177067e-01,3.616083e-01,7.350000e-01,1.275319e-01,1.566997e-01,1.044300e+01
-0.066715,0.3089,0.4818,5.4254,7.2055,1,5.063041e-01,2.910392e-01,5.745000e-01,1.932622e-01,1.879558e-01,3.579000e+00
